ISBN,title,publish_date,no_pages,series,author,publisher,description
9788382158571,Zachowaj spokój ,17/04/2008,432,,Harlan Coben,Albatros,Nie ufaj nikomu. Zwłaszcza własnej rodzinie.
9788381399920,Chodź ze mną ,18/05/2022,464,,Łukasz Orbitowski,Świat Książki,"Rok 1958. Helena, dwudziestoletnia studentka stomatologii z Gdyni, zakochuje się w sowieckim kapitanie niszczyciela. Kola jest starszy i żonaty. Niemożliwa miłość w Polsce Ludowej zmusza ich do brawurowej ucieczki do Szwecji. Wyruszając w podróż ku szczęściu, nie znają ceny jaką zapłacą za wspólne życie. Czy odnajdąbezpiecznąprzystań?"
9788381439961,Plac Senacki 6 PM ,18/05/2022,568,,Vincent V. Severski,Czarna Owca,Niekwestionowany mistrz powieści szpiegowskiej powraca z zupełnie nowym thrillerem o narodzinach imperium Putina.
9788367093453,Krwawnica ,27/04/2022,364,,Mieczysław Gorzka,Skarpa Warszawska,"Wciągający thriller, w którym strach ma różne oblicza. Nawet te najmniej ludzkie…"
9788328720893,"Tam, gdzie las spotyka się z niebem ",01/03/2019,352,,Glendy Vanderah,Muza,"Bestseller Amazon Charts, „Wall Street Journal” i „Washington Post”"
9788328721081,Królestwo Nikczemnych ,27/10/2020,448,Królestwo Nikczemnych ,Kerri Maniscalco,Muza,"Emilia i jej siostra Vittoria są streghe - czarownicami ze starego rodu, którego korzenie sięgają samej Bogini Księżyca. Jednak ich codzienne życie częściej kręci się wokół oliwy z oliwek i świeżej bruschetty niż zaklęć. Dziewczyny pomagają babci i rodzicom prowadzić rodzinną restaurację. Ich pochodzenie i magiczny talent może ściągnąć na nie duże niebezpieczeństwo - niejedna streghe zginęła na stosie, skazana na śmierć z powodu ignorancji i strachu swoich sąsiadów. Zresztą osiemnastoletnie dziewczyny są dużo bardziej zainteresowane chłopakami i wiadomościami z miasta niż starymi legendami opowiadanymi przez babcię."
9788328720909,Cienie między nami ,25/02/2020,320,,Tricia Levenseller,Muza,"Alessandra Stathos, druga córka lorda Masisa, ma dość bycia ignorowaną, dlatego opracowała doskonały plan, jak zdobyć władzę: 1) uwieść Króla Cieni, 2) poślubić go, 3) zabić go i zagarnąć jego królestwo dla siebie. Nikt nie wie, na czym dokładnie polega moc niedawno koronowanego Króla Cieni. Niektórzy twierdzą, że potrafi on nakłonić wirujące wokół niego cienie, by wykonywały jego rozkazy. Inni zaś utrzymują, że te cienie do niego mówią, szepcząc mu na ucho myśli jego wrogów. Tak czy owak, Alessandra wie, że zasługuje na to, by zostać królową, i zrobi wszystko, by osiągnąć swój cel. Jednak nie tylko ona usiłuje zabić króla. W obliczu kolejnych prób zamachu na Króla Cieni, Alessandra postanawia za wszelką cenę dopilnować, by pozostał przy życiu, dopóki ona nie zostanie jego żoną, równocześnie ze wszystkich sił starając się nie stracić głowy i… serca. Odkrywa bowiem, że nie tylko ona byłaby dla niego idealną królową, lecz także on byłby idealnym partnerem dla niej. Oboje są równie podstępni, ambitni, bezwzględni, a także… samotni i spragnieni miłości. "
9788381788168,Nieznajomy z samolotu ,26/09/2019,479,Bracia Miles ,T.L. Swan,NieZwykłe,"Podróż powrotna Emily Foster ze ślubu koleżanki zaczęła się gorzej niż źle. Kiedy kobieta czeka na odprawę, jakiś pijany facet próbuje zniszczyć jej bagaż. Na szczęście obsługa lotniska jako rekompensatę proponuje dziewczynie lot w pierwszej klasie."
9788382522358,Dom ,27/04/2022,448,,Piotr Kościelny,Czarna Owca,"Wschowa to spokojne, niewielkie miasto, którego sielankę przerywają dwie zagadkowe śmierci. Na swoje życie targnęli się były nauczyciel i ksiądz miejscowej parafii."
9788328380165,Start a fire. Runda pierwsza ,12/01/2022,608,Trylogia Hell ,P.S. Herytiera,Editio Red,"Wznieciliśmy ogień, nad którym nie byliśmy w stanie zapanować"
9788382660074,Heartstopper. Tom 1 ,01/10/2018,288,Heartstopper ,Alice Oseman,Jaguar,"Powieść graficzna LGBTQ+ o życiu, miłości i wszystkim, co dzieje się pomiędzy – gratka dla fanów filmu Twój Simon i książek Holly Bourne."
9788367054966,Wstyd ,13/04/2022,408,,Robert Małecki,Czwarta Strona,"Wstyd zamyka nam usta. Ale przemilczane sprawy zawsze wracają. Julia Karlińska, była policjantka nazywana Karlą, uczy historii w liceum medycznym i samotnie wychowuje nastoletnich bliźniaków. Mundur odwiesiła po tragicznej śmierci męża, policjanta, który zginął w wypadku motocyklowym. Sprawcy tragedii nigdy nie odnaleziono."
9788381438681,Mentalista ,22/03/2022,680,Mentalista ,Henrik Fexeus,Czarna Owca,Pierwsza część nowej serii kryminalnej Camilli Läckberg i Henrika Fexeusa!
9788382153767,Życie Violette ,14/05/2021,480,,Valerie Perrin,Albatros,Oda do szczęścia i pochwała radości z małych rzeczy.
9788381959865,Obrazy z przeszłości ,18/05/2022,464,Seweryn Zaorski ,Remigiusz Mróz,Filia,"Dwadzieścia lat temu w Żeromicach zaginęła jedna z mieszkanek – prowadzący postępowanie policjanci nigdy nie ustalili, co stało się z dziewczyną, a śledczy nie odnaleźli żadnego tropu, który pozwoliłby wyjaśnić zagadkę. Pierwsze ślady pojawiły się dopiero dwie dekady później, kiedy w okolicznych lasach zaczęto odkrywać rzeczy mogące należeć do zaginionej."
9788328720220,Krew i popiół ,30/03/2020,512,Krew i popiół ,Jennifer L. Armentrout,You&Ya,"Poppy jest Panną. Jej życie jest pełne samotności. Nikt nie może jej dotknąć. Tylko garstka wybrańców może zobaczyć jej twarz albo z nią porozmawiać. Jej egzystencja jest pozbawiona wszelkiej przyjemności. Poświęcona bogom, ma tylko jedno zadanie - przygotować się do Ascendencji, rytuału, który ma zapoczątkować nową erę."
